Protein FDR Confidence,Accession,Description,MW [kDa],# Unique Peptides,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,Abundance Ratio (log2): (R62) / (WTR),P-Value,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,,,
High,P31786,Acyl-CoA-binding protein OS=Mus musculus (Mouse) OX=10090 GN=Dbi PE=1 SV=2,10,3,3,2,,2,1,1,6,4,,3,2,1,-1.07,1.59E-01,3,2,2,3,1,3,2.11E+08,2.39E+08,1.20E+08,2.37E+08,1.00E+08,9.78E+07,,,
High,P23492,Purine nucleoside phosphorylase OS=Mus musculus (Mouse) OX=10090 GN=Pnp PE=1 SV=2,32.3,13,2,11,3,6,4,5,2,11,3,6,5,5,0.84,1.62E-01,4,8,7,7,3,6,5.88E+06,1.70E+07,6.49E+06,9.72E+06,1.16E+07,1.40E+07,,,
High,Q80TZ3,Putative tyrosine-protein phosphatase auxilin OS=Mus musculus (Mouse) OX=10090 GN=Dnajc6 PE=1 SV=2,102.2,4,2,3,,2,,2,2,3,,2,,2,1.44,1.63E-01,1,2,2,3,2,3,6.59E+05,6.55E+05,2.37E+05,1.77E+06,2.02E+06,1.29E+06,,,
High,P10637,Microtubule-associated protein tau OS=Mus musculus (Mouse) OX=10090 GN=Mapt PE=1 SV=3,76.2,19,13,17,9,12,4,8,18,32,12,21,5,9,-1.07,1.63E-01,16,21,17,17,10,15,1.02E+08,2.01E+08,8.05E+07,1.14E+08,3.52E+07,4.86E+07,,,
High,O35216,Histone H3-like centromeric protein A OS=Mus musculus (Mouse) OX=10090 GN=Cenpa PE=2 SV=1,15.5,2,,2,,1,,1,,2,,1,,1,-1.66,1.63E-01,1,2,2,2,1,1,4.30E+05,1.63E+06,1.09E+06,1.07E+06,3.46E+05,3.25E+05,,,
High,P84091,AP-2 complex subunit mu OS=Mus musculus (Mouse) OX=10090 GN=Ap2m1 PE=1 SV=1,49.6,16,7,14,1,13,1,5,8,14,1,13,1,6,-1.07,1.63E-01,13,15,9,14,6,12,2.53E+07,3.12E+07,5.59E+06,2.98E+07,8.42E+06,1.21E+07,,,
High,Q9CW03,Structural maintenance of chromosomes protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Smc3 PE=1 SV=2,141.5,40,26,28,5,27,6,8,27,29,5,32,6,8,-1.07,1.63E-01,29,27,21,31,17,20,6.89E+07,3.05E+07,1.03E+07,3.44E+07,1.08E+07,1.46E+07,,,
High,Q9JKC6,Cell cycle exit and neuronal differentiation protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Cend1 PE=1 SV=1,15,6,4,4,3,6,3,2,4,4,3,7,3,2,0.69,1.64E-01,5,5,5,6,4,5,9.20E+06,1.61E+07,1.04E+07,2.10E+07,1.21E+07,1.68E+07,,,
High,P17751,Triosephosphate isomerase OS=Mus musculus (Mouse) OX=10090 GN=Tpi1 PE=1 SV=4,32.2,14,12,9,7,11,10,10,24,15,9,18,13,15,0.67,1.64E-01,13,12,12,13,9,12,4.99E+08,8.48E+07,7.12E+07,1.46E+08,1.35E+08,1.11E+08,,,
High,Q921M3,Splicing factor 3B subunit 3 OS=Mus musculus (Mouse) OX=10090 GN=Sf3b3 PE=1 SV=1,135.5,30,18,18,7,25,6,8,19,24,7,29,6,8,-1.06,1.64E-01,25,20,18,23,13,15,9.22E+07,5.48E+07,2.09E+07,5.92E+07,1.83E+07,2.62E+07,,,
High,Q9ERD7,Tubulin beta-3 chain OS=Mus musculus (Mouse) OX=10090 GN=Tubb3 PE=1 SV=1,50.4,5,14,14,13,18,14,13,112,53,33,47,37,35,0.71,1.64E-01,2,5,3,5,4,4,9.64E+06,1.51E+07,2.92E+06,2.98E+07,1.58E+07,1.16E+07,,,
High,Q99KF1,Transmembrane emp24 domain-containing protein 9 OS=Mus musculus (Mouse) OX=10090 GN=Tmed9 PE=1 SV=2,27.1,6,2,3,4,7,2,4,2,4,4,11,3,4,0.69,1.65E-01,3,5,4,5,3,4,1.09E+07,1.08E+07,6.43E+06,1.75E+07,1.76E+07,1.27E+07,,,
High,P17563,Methanethiol oxidase OS=Mus musculus (Mouse) OX=10090 GN=Selenbp1 PE=1 SV=2,52.5,11,3,10,2,11,4,9,3,11,2,12,4,9,0.75,1.65E-01,5,9,6,8,8,8,9.06E+06,9.98E+06,5.25E+06,1.18E+07,3.25E+07,1.52E+07,,,
High,O35658,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=C1qbp PE=1 SV=1",31,6,1,5,,4,,2,1,5,,5,,2,0.85,1.66E-01,1,5,2,4,1,3,6.77E+06,2.06E+07,1.91E+06,1.77E+07,7.13E+05,1.22E+07,,,
High,Q501J6,Probable ATP-dependent RNA helicase DDX17 OS=Mus musculus (Mouse) OX=10090 GN=Ddx17 PE=1 SV=1,72.4,15,20,17,7,18,9,12,34,23,7,27,10,17,-1.06,1.67E-01,14,16,11,15,9,11,6.88E+07,3.42E+07,1.18E+07,3.08E+07,1.64E+07,1.30E+07,,,
High,Q9D883,Splicing factor U2AF 35 kDa subunit OS=Mus musculus (Mouse) OX=10090 GN=U2af1 PE=1 SV=4,27.8,7,5,4,1,2,2,1,6,4,1,2,2,1,-1.22,1.67E-01,6,5,2,5,5,5,2.06E+07,8.41E+06,5.83E+05,9.29E+06,3.04E+06,3.61E+06,,,
High,Q6PFR5,Transformer-2 protein homolog alpha OS=Mus musculus (Mouse) OX=10090 GN=Tra2a PE=1 SV=1,32.3,2,1,1,,3,,2,1,1,,3,,2,-1.68,1.68E-01,2,2,1,2,1,1,2.98E+06,1.47E+06,5.66E+05,2.27E+06,1.12E+05,4.58E+05,,,
High,Q3THS6,S-adenosylmethionine synthase isoform type-2 OS=Mus musculus (Mouse) OX=10090 GN=Mat2a PE=1 SV=2,43.7,11,9,8,4,6,2,6,13,9,4,6,2,7,-1.05,1.69E-01,9,9,7,8,6,8,3.37E+07,2.75E+07,1.13E+07,2.29E+07,1.20E+07,1.32E+07,,,
High,Q91V92,ATP-citrate synthase OS=Mus musculus (Mouse) OX=10090 GN=Acly PE=1 SV=1,119.7,29,25,13,4,14,4,6,31,14,4,14,4,6,-1.05,1.71E-01,23,19,7,19,7,10,9.57E+07,2.34E+07,4.38E+06,1.97E+07,6.89E+06,1.13E+07,,,
High,P58389,Serine/threonine-protein phosphatase 2A activator OS=Mus musculus (Mouse) OX=10090 GN=Ptpa PE=1 SV=1,36.7,9,4,8,4,7,3,4,5,9,4,7,3,4,0.81,1.71E-01,5,6,4,6,5,5,7.68E+06,1.60E+07,4.71E+06,1.78E+07,1.29E+07,1.35E+07,,,
High,P0DP26,Calmodulin-1 OS=Mus musculus (Mouse) OX=10090 GN=Calm1 PE=1 SV=1,16.8,7,7,7,2,7,4,6,7,9,2,9,7,7,0.66,1.72E-01,4,6,5,7,7,8,1.75E+07,1.42E+07,7.33E+06,2.58E+07,2.23E+07,2.12E+07,,,
High,Q3UUQ7,GPI inositol-deacylase OS=Mus musculus (Mouse) OX=10090 GN=Pgap1 PE=1 SV=3,104.5,6,,2,,4,,1,,2,,4,,1,1.15,1.72E-01,1,3,1,3,2,2,1.09E+06,2.12E+06,1.16E+05,4.45E+06,2.43E+06,1.23E+06,,,
High,P97371,Proteasome activator complex subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Psme1 PE=1 SV=2,28.7,9,4,6,3,8,4,4,4,6,3,8,4,4,0.85,1.72E-01,6,7,7,7,7,9,1.83E+07,6.57E+06,2.96E+06,1.29E+07,1.18E+07,1.05E+07,,,
High,P16858,Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus (Mouse) OX=10090 GN=Gapdh PE=1 SV=2,35.8,15,13,14,8,14,11,11,53,41,21,44,43,36,0.65,1.72E-01,21,22,19,20,19,19,1.49E+09,6.67E+08,5.47E+08,1.05E+09,1.76E+09,8.43E+08,,,
High,Q5SYD0,Unconventional myosin-Id OS=Mus musculus (Mouse) OX=10090 GN=Myo1d PE=1 SV=1,116,8,,6,,5,,,,6,,5,,,1.1,1.73E-01,3,5,4,5,1,3,1.25E+06,2.87E+06,1.12E+06,2.68E+06,3.46E+05,3.35E+06,,,
High,Q9R1Q9,V-type proton ATPase subunit S1 OS=Mus musculus (Mouse) OX=10090 GN=Atp6ap1 PE=1 SV=1,51,7,2,6,2,7,4,3,2,7,2,7,6,5,0.9,1.74E-01,2,6,5,7,4,6,4.78E+06,8.49E+06,2.74E+06,8.91E+06,1.65E+07,6.13E+06,,,
High,Q3U9G9,Delta(14)-sterol reductase LBR OS=Mus musculus (Mouse) OX=10090 GN=Lbr PE=1 SV=2,71.4,10,4,8,1,8,3,3,4,10,1,9,3,3,0.9,1.74E-01,5,10,6,8,7,7,4.64E+06,1.46E+07,2.96E+06,9.18E+06,8.65E+06,3.92E+06,,,
High,Q99KE1,"NAD-dependent malic enzyme, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Me2 PE=1 SV=1",65.8,8,4,4,1,8,1,3,4,4,1,9,1,3,0.99,1.74E-01,3,6,2,5,2,4,1.91E+06,2.66E+06,4.38E+05,5.50E+06,1.38E+06,3.80E+06,,,
High,P28661,Septin-4 OS=Mus musculus (Mouse) OX=10090 GN=Septin4 PE=1 SV=1,54.9,6,,6,1,4,1,,,7,1,5,1,,1.19,1.76E-01,,3,2,2,3,3,,2.23E+06,4.42E+05,2.27E+06,1.88E+06,2.29E+06,,,
High,O55022,Membrane-associated progesterone receptor component 1 OS=Mus musculus (Mouse) OX=10090 GN=Pgrmc1 PE=1 SV=4,21.7,3,2,4,1,4,2,3,2,4,1,5,2,3,-1.28,1.77E-01,2,3,3,3,1,2,6.10E+06,5.78E+06,1.77E+06,5.76E+06,3.90E+05,2.39E+06,,,
High,Q7TNC4,Putative RNA-binding protein Luc7-like 2 OS=Mus musculus (Mouse) OX=10090 GN=Luc7l2 PE=1 SV=1,46.6,5,8,6,2,8,3,2,10,7,2,11,3,2,-1.34,1.77E-01,4,3,2,4,1,2,1.01E+07,4.06E+06,4.98E+05,6.25E+06,1.12E+06,1.60E+06,,,
High,O35969,Guanidinoacetate N-methyltransferase OS=Mus musculus (Mouse) OX=10090 GN=Gamt PE=1 SV=1,26.3,6,4,5,,3,2,3,4,6,,3,2,3,0.95,1.77E-01,3,5,3,5,1,4,4.25E+06,1.40E+07,2.52E+06,8.24E+06,2.09E+06,8.16E+07,,,
High,Q8VEB4,Group XV phospholipase A2 OS=Mus musculus (Mouse) OX=10090 GN=Pla2g15 PE=1 SV=1,47.3,5,,4,1,,1,,,4,1,,1,,1.15,1.77E-01,1,4,2,1,1,4,7.11E+05,4.54E+06,1.07E+06,4.45E+05,2.37E+06,3.39E+06,,,
High,A2A432,Cullin-4B OS=Mus musculus (Mouse) OX=10090 GN=Cul4b PE=1 SV=1,110.6,5,7,1,,6,,,7,1,,6,,,-1.58,1.80E-01,4,1,,3,1,2,7.58E+06,1.71E+05,,9.72E+05,3.81E+05,2.00E+05,,,
High,Q9CQ62,"2,4-dienoyl-CoA reductase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Decr1 PE=1 SV=1",36.2,11,3,8,4,9,3,7,3,8,4,9,3,8,0.85,1.81E-01,4,9,6,9,6,7,5.15E+06,1.58E+07,5.90E+06,2.28E+07,1.06E+07,9.64E+06,,,
High,Q9CWZ7,Gamma-soluble NSF attachment protein OS=Mus musculus (Mouse) OX=10090 GN=Napg PE=1 SV=1,34.7,6,,3,,5,1,1,,3,,5,1,1,-1.5,1.81E-01,3,4,3,5,2,2,2.03E+06,1.99E+06,7.44E+05,3.72E+06,3.65E+05,7.05E+05,,,
High,P60229,Eukaryotic translation initiation factor 3 subunit E OS=Mus musculus (Mouse) OX=10090 GN=Eif3e PE=1 SV=1,52.2,17,8,9,1,15,5,2,8,9,1,15,5,2,-1.03,1.82E-01,12,13,6,13,9,10,3.01E+07,1.57E+07,2.60E+06,2.21E+07,7.69E+06,7.68E+06,,,
High,P62761,Visinin-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Vsnl1 PE=1 SV=2,22.1,5,,5,,2,,1,,5,,2,,1,1.09,1.83E-01,2,3,1,3,,1,1.24E+06,2.82E+06,3.50E+05,4.09E+06,,1.71E+06,,,
High,P62627,Dynein light chain roadblock-type 1 OS=Mus musculus (Mouse) OX=10090 GN=Dynlrb1 PE=1 SV=3,11,3,2,3,1,3,,1,4,4,1,3,,1,0.95,1.83E-01,2,3,2,3,1,2,4.00E+06,1.18E+07,3.28E+06,1.19E+07,5.53E+06,7.74E+06,,,
High,Q9Z0X1,"Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Aifm1 PE=1 SV=1",66.7,10,7,6,4,7,2,4,9,6,4,7,2,4,-1.19,1.83E-01,6,7,4,8,4,4,1.80E+07,7.88E+06,2.12E+06,9.72E+06,2.61E+06,3.46E+06,,,
High,Q8BJ71,Nuclear pore complex protein Nup93 OS=Mus musculus (Mouse) OX=10090 GN=Nup93 PE=1 SV=1,93.2,18,9,10,2,8,1,5,10,11,2,9,1,5,-1.09,1.83E-01,9,10,5,11,5,8,3.14E+07,1.21E+07,4.51E+06,1.54E+07,5.62E+06,5.69E+06,,,
High,Q61081,Hsp90 co-chaperone Cdc37 OS=Mus musculus (Mouse) OX=10090 GN=Cdc37 PE=1 SV=1,44.6,11,6,8,4,8,,2,8,9,4,8,,2,-1.08,1.84E-01,11,10,8,9,5,8,2.62E+07,1.26E+07,3.12E+06,1.12E+07,3.67E+06,5.94E+06,,,
High,P99026,Proteasome subunit beta type-4 OS=Mus musculus (Mouse) OX=10090 GN=Psmb4 PE=1 SV=1,29.1,5,4,4,1,4,3,1,4,4,1,5,4,1,0.87,1.84E-01,4,3,3,3,4,4,1.62E+07,4.57E+06,5.34E+06,9.46E+06,1.37E+07,9.73E+06,,,
High,Q99NB9,Splicing factor 3B subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Sf3b1 PE=1 SV=1,145.7,31,22,24,2,20,5,9,25,26,2,21,5,9,-1.02,1.84E-01,18,24,12,24,12,15,3.89E+07,3.11E+07,7.04E+06,3.13E+07,1.53E+07,1.35E+07,,,
High,Q99JB2,"Stomatin-like protein 2, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Stoml2 PE=1 SV=1",38.4,7,5,3,1,2,,,5,3,1,2,,,-1.38,1.85E-01,4,4,3,2,1,2,7.99E+06,3.16E+06,5.89E+05,3.01E+06,1.21E+06,1.14E+06,,,
High,Q8C181,Muscleblind-like protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Mbnl2 PE=2 SV=2,40.1,3,2,3,,3,,1,2,3,,4,,1,-1.16,1.86E-01,2,3,2,3,2,2,6.74E+06,7.79E+06,2.37E+06,6.83E+06,2.78E+06,3.01E+06,,,
High,Q61495,Desmoglein-1-alpha OS=Mus musculus (Mouse) OX=10090 GN=Dsg1a PE=2 SV=2,114.5,4,3,4,3,4,4,3,4,8,5,8,7,6,0.63,1.86E-01,7,7,7,7,7,7,2.57E+07,2.94E+07,4.62E+07,3.90E+07,4.55E+07,5.11E+07,,,
High,Q8BHD7,Polypyrimidine tract-binding protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Ptbp3 PE=1 SV=1,56.7,5,3,5,1,5,1,2,3,5,1,6,2,3,1.42,1.86E-01,1,3,2,3,2,2,6.48E+05,2.10E+06,4.87E+05,3.04E+06,1.05E+06,1.74E+06,,,
High,P41216,Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus (Mouse) OX=10090 GN=Acsl1 PE=1 SV=2,77.9,14,2,13,,5,1,4,2,14,,5,1,4,0.99,1.87E-01,4,13,5,11,6,9,3.51E+06,9.79E+06,2.11E+06,8.59E+06,4.91E+06,6.99E+06,,,
High,Q9JLF6,Protein-glutamine gamma-glutamyltransferase K OS=Mus musculus (Mouse) OX=10090 GN=Tgm1 PE=1 SV=2,89.8,6,2,3,4,4,2,4,2,3,4,4,2,4,0.92,1.88E-01,3,5,6,6,4,6,2.83E+06,4.24E+06,1.02E+07,8.02E+06,7.38E+06,2.03E+07,,,
High,P45878,Peptidyl-prolyl cis-trans isomerase FKBP2 OS=Mus musculus (Mouse) OX=10090 GN=Fkbp2 PE=1 SV=1,15.3,5,4,5,1,5,1,2,4,6,1,5,1,2,0.61,1.89E-01,5,5,4,5,3,3,1.01E+07,1.36E+07,3.26E+07,2.09E+07,1.71E+07,3.05E+07,,,
High,Q60973,Histone-binding protein RBBP7 OS=Mus musculus (Mouse) OX=10090 GN=Rbbp7 PE=1 SV=1,47.8,5,10,6,4,7,4,2,13,6,4,7,4,2,-1.62,1.89E-01,4,2,1,2,1,2,3.33E+07,1.24E+06,4.46E+04,2.75E+06,4.05E+05,1.46E+05,,,
High,Q64332,Synapsin-2 OS=Mus musculus (Mouse) OX=10090 GN=Syn2 PE=1 SV=2,63.3,10,2,9,1,7,1,5,3,11,1,9,1,6,0.98,1.89E-01,2,5,2,6,2,2,1.48E+06,1.24E+07,1.11E+06,1.14E+07,1.48E+06,2.91E+06,,,
High,Q9D9V3,Ethylmalonyl-CoA decarboxylase OS=Mus musculus (Mouse) OX=10090 GN=Echdc1 PE=1 SV=2,35.4,6,3,2,,2,,,3,2,,2,,,0.69,1.91E-01,4,4,4,3,2,2,6.21E+06,9.38E+06,1.04E+07,4.03E+06,1.51E+07,2.36E+07,,,
High,Q8C7X2,ER membrane protein complex subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Emc1 PE=1 SV=1,111.5,14,7,13,4,9,1,5,7,13,4,10,1,5,-1.07,1.91E-01,6,12,10,10,4,8,1.31E+07,1.75E+07,4.94E+06,1.26E+07,4.80E+06,6.26E+06,,,
High,Q9CS42,Ribose-phosphate pyrophosphokinase 2 OS=Mus musculus (Mouse) OX=10090 GN=Prps2 PE=1 SV=4,34.8,4,6,7,1,5,1,1,6,7,1,5,1,1,-1.39,1.91E-01,2,2,2,3,,2,2.90E+06,3.81E+06,5.12E+05,2.07E+06,,5.90E+05,,,
High,Q8CH25,SAFB-like transcription modulator OS=Mus musculus (Mouse) OX=10090 GN=Sltm PE=1 SV=1,116.9,5,2,4,,4,,,2,4,,4,,,-1.35,1.91E-01,1,4,,4,1,2,1.47E+05,9.62E+05,,9.01E+05,6.68E+04,1.47E+05,,,
High,Q9CQI6,Coactosin-like protein OS=Mus musculus (Mouse) OX=10090 GN=Cotl1 PE=1 SV=3,15.9,8,4,7,3,3,,6,5,8,3,3,,6,-1.03,1.93E-01,5,7,6,5,7,7,2.11E+07,1.43E+07,5.91E+06,3.93E+06,6.99E+06,1.18E+07,,,
High,P26350,Prothymosin alpha OS=Mus musculus (Mouse) OX=10090 GN=Ptma PE=1 SV=2,12.2,6,6,6,6,6,4,6,9,11,9,12,7,9,0.62,1.93E-01,5,6,6,6,6,6,4.30E+07,3.83E+07,8.01E+07,6.59E+07,4.42E+07,6.79E+07,,,
High,Q9Z0S1,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Mus musculus (Mouse) OX=10090 GN=Bpnt1 PE=1 SV=2",33.2,15,11,13,6,14,5,5,11,18,7,18,5,6,-1.01,1.94E-01,10,14,12,14,8,9,2.77E+07,3.88E+07,1.82E+07,3.73E+07,1.11E+07,1.38E+07,,,
High,Q05BC3,Echinoderm microtubule-associated protein-like 1 OS=Mus musculus (Mouse) OX=10090 GN=Eml1 PE=1 SV=1,89.6,15,5,14,6,15,4,6,5,16,6,18,4,7,-1.02,1.94E-01,8,15,8,15,9,7,2.28E+07,4.00E+07,6.02E+06,3.31E+07,1.00E+07,1.13E+07,,,
High,P56135,"ATP synthase subunit f, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Atp5mf PE=1 SV=3",10.3,2,1,2,1,2,,1,1,3,1,3,,1,0.64,1.94E-01,1,3,2,3,2,3,9.64E+06,2.94E+07,1.14E+07,3.02E+07,1.72E+07,1.78E+07,,,
High,P55302,Alpha-2-macroglobulin receptor-associated protein OS=Mus musculus (Mouse) OX=10090 GN=Lrpap1 PE=1 SV=1,42.2,6,,4,,5,,,,4,,5,,,1.07,1.95E-01,2,4,1,5,,1,1.15E+06,2.72E+06,1.18E+06,4.86E+06,,1.25E+06,,,
High,P70333,Heterogeneous nuclear ribonucleoprotein H2 OS=Mus musculus (Mouse) OX=10090 GN=Hnrnph2 PE=1 SV=1,49.2,6,10,10,7,11,3,5,21,17,8,22,4,5,0.61,1.96E-01,4,7,7,9,4,5,1.45E+07,2.44E+07,1.09E+07,3.41E+07,2.21E+07,1.29E+07,,,
High,Q9D394,Protein RUFY3 OS=Mus musculus (Mouse) OX=10090 GN=Rufy3 PE=1 SV=1,53,9,2,8,,7,3,3,2,8,,7,3,3,0.86,1.98E-01,5,5,5,8,6,7,4.70E+06,4.89E+06,1.98E+06,8.51E+06,3.79E+06,8.51E+06,,,
High,Q6TEK5,Vitamin K epoxide reductase complex subunit 1-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Vkorc1l1 PE=1 SV=1,19.8,3,1,3,,1,,,1,3,,1,,,0.96,1.98E-01,2,3,1,2,,,1.58E+06,1.82E+06,2.60E+05,3.09E+06,,,,,
High,P32020,Non-specific lipid-transfer protein OS=Mus musculus (Mouse) OX=10090 GN=Scp2 PE=1 SV=3,59.1,9,6,4,5,7,2,5,7,7,6,10,2,5,-0.99,1.98E-01,4,5,5,5,3,6,1.56E+07,2.00E+07,7.61E+06,1.76E+07,6.96E+06,7.83E+06,,,
High,Q61885,Myelin-oligodendrocyte glycoprotein OS=Mus musculus (Mouse) OX=10090 GN=Mog PE=1 SV=1,28.3,7,5,5,4,5,3,3,6,6,4,5,3,3,0.6,1.99E-01,6,7,7,6,5,7,1.08E+07,2.73E+07,1.35E+07,2.62E+07,2.05E+07,1.83E+07,,,
High,P97822,Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Mus musculus (Mouse) OX=10090 GN=Anp32e PE=1 SV=2,29.6,9,4,7,4,9,3,5,6,8,4,11,3,6,-0.97,2.00E-01,5,5,4,6,2,4,3.47E+07,1.76E+07,4.46E+06,2.08E+07,8.97E+06,6.04E+06,,,
High,P60521,Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Mus musculus (Mouse) OX=10090 GN=Gabarapl2 PE=1 SV=1,13.7,2,2,2,,1,1,1,2,2,,1,1,1,0.96,2.00E-01,1,2,1,2,2,1,5.61E+05,5.90E+06,2.54E+06,6.13E+06,4.94E+06,2.96E+06,,,
High,Q9D517,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Mus musculus (Mouse) OX=10090 GN=Agpat3 PE=1 SV=2,43.3,8,3,6,,7,,3,3,7,,9,,3,0.82,2.02E-01,5,7,5,7,4,7,5.61E+06,1.38E+07,3.60E+06,1.59E+07,7.04E+06,9.88E+06,,,
High,Q8BH69,"Selenide, water dikinase 1 OS=Mus musculus (Mouse) OX=10090 GN=Sephs1 PE=1 SV=1",42.9,6,3,4,,,2,,3,6,,,2,,-1.45,2.02E-01,2,3,1,2,2,1,2.46E+06,2.87E+06,4.35E+05,9.01E+05,1.74E+06,6.72E+05,,,
High,P50396,Rab GDP dissociation inhibitor alpha OS=Mus musculus (Mouse) OX=10090 GN=Gdi1 PE=1 SV=3,50.5,17,16,17,15,22,14,16,24,27,20,36,21,27,0.6,2.03E-01,16,17,13,18,15,16,8.00E+07,9.64E+07,5.06E+07,1.77E+08,1.21E+08,1.07E+08,,,
High,Q61466,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Mus musculus (Mouse) OX=10090 GN=Smarcd1 PE=1 SV=3,58.2,6,2,5,,5,1,,3,6,,7,1,,-0.99,2.03E-01,2,4,3,4,2,2,1.13E+08,2.13E+08,1.68E+08,7.46E+07,1.56E+08,8.47E+07,,,
High,Q9JMD0,BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Mus musculus (Mouse) OX=10090 GN=Znf207 PE=1 SV=1,52.8,3,3,3,1,3,2,1,3,3,1,3,2,1,-1.25,2.04E-01,3,3,3,3,2,3,9.04E+06,5.12E+06,2.41E+06,5.87E+06,2.15E+06,2.13E+06,,,
High,P49722,Proteasome subunit alpha type-2 OS=Mus musculus (Mouse) OX=10090 GN=Psma2 PE=1 SV=3,25.9,9,6,7,3,7,4,2,8,10,3,10,5,2,-0.99,2.04E-01,9,7,6,9,5,5,3.97E+07,2.57E+07,1.36E+07,1.96E+07,1.30E+07,5.18E+06,,,
High,Q60598,Src substrate cortactin OS=Mus musculus (Mouse) OX=10090 GN=Cttn PE=1 SV=2,61.2,4,4,3,,4,,,4,3,,4,,,1.43,2.04E-01,4,1,2,3,3,1,7.98E+06,2.08E+05,3.84E+05,2.23E+06,1.03E+06,5.21E+05,,,
High,Q99PL5,Ribosome-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Rrbp1 PE=1 SV=2,172.8,57,25,42,15,51,14,24,27,48,16,58,14,26,0.59,2.04E-01,33,52,37,48,37,45,3.42E+07,5.51E+07,1.48E+07,8.67E+07,3.31E+07,5.17E+07,,,
High,Q62433,Protein NDRG1 OS=Mus musculus (Mouse) OX=10090 GN=Ndrg1 PE=1 SV=1,43,9,5,7,3,7,2,2,5,13,4,10,2,3,-1,2.05E-01,7,9,8,9,5,5,2.13E+07,4.82E+07,1.65E+07,4.19E+07,1.07E+07,7.34E+06,,,
High,Q9JI39,"ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Abcb10 PE=1 SV=1",77.1,6,1,2,,5,,1,1,2,,5,,1,1.38,2.05E-01,2,3,1,4,1,3,6.13E+05,1.04E+06,1.60E+05,2.62E+06,4.38E+05,1.59E+06,,,
High,P28656,Nucleosome assembly protein 1-like 1 OS=Mus musculus (Mouse) OX=10090 GN=Nap1l1 PE=1 SV=2,45.3,5,5,3,,3,,2,8,3,,3,,2,-1.09,2.05E-01,4,3,1,3,,1,5.71E+07,9.54E+06,3.89E+06,1.01E+07,,2.00E+06,,,
High,P62897,"Cytochrome c, somatic OS=Mus musculus (Mouse) OX=10090 GN=Cycs PE=1 SV=2",11.6,6,5,5,3,6,3,4,5,7,4,9,3,5,0.59,2.06E-01,5,6,7,7,5,5,2.25E+07,6.01E+07,2.71E+07,8.72E+07,2.73E+07,4.09E+07,,,
High,Q9CXZ1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Ndufs4 PE=1 SV=3",19.8,5,5,5,2,4,1,2,6,5,2,5,1,2,0.61,2.06E-01,4,5,5,4,3,5,8.00E+06,1.54E+07,1.04E+07,1.95E+07,2.83E+06,1.60E+07,,,
High,P70296,Phosphatidylethanolamine-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Pebp1 PE=1 SV=3,20.8,8,8,7,4,7,7,7,16,10,4,11,9,8,0.59,2.06E-01,7,9,9,9,7,8,1.32E+08,1.28E+08,9.13E+07,2.39E+08,1.92E+08,1.42E+08,,,
High,Q921T2,Torsin-1A-interacting protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Tor1aip1 PE=1 SV=3,66.7,10,1,9,,10,1,1,1,10,,12,1,1,-1.09,2.07E-01,2,8,6,8,2,5,9.68E+05,8.57E+06,9.64E+06,1.03E+07,3.25E+06,4.01E+06,,,
